epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2499,1.44716,2.78892,1.70702,0.13216,0.27768,0.0993,0.03349,2.08397,3.18772,2.31829,0.000332143,0.000332143,0.0671179
2,91.9809,1.28745,2.20424,1.56668,0.37094,0.49347,0.34195,0.19874,1.32245,2.27659,1.53538,0.000658888,0.000658888,0.0341113
3,137.529,1.23078,2.07786,1.53055,0.39518,0.46177,0.37085,0.23242,1.21589,2.16133,1.45607,0.000979033,0.000979033,0.00109808
4,187.803,1.19912,1.97446,1.49156,0.4318,0.50831,0.41375,0.31086,0.97092,1.80936,1.22304,0.0009703,0.0009703,0.0009703
5,232.789,1.1466,1.90067,1.46618,0.45431,0.49745,0.41189,0.2615,1.20131,2.02997,1.41739,0.0009604,0.0009604,0.0009604
6,275.413,1.12707,1.84528,1.44766,0.50374,0.51071,0.48968,0.3661,0.95878,1.71521,1.18857,0.0009505,0.0009505,0.0009505
7,317.903,1.08018,1.76916,1.40888,0.42329,0.47679,0.4155,0.31285,1.00143,1.91913,1.25416,0.0009406,0.0009406,0.0009406
8,360.493,1.0769,1.72217,1.41654,0.45874,0.53827,0.46182,0.36329,0.84834,1.80171,1.11225,0.0009307,0.0009307,0.0009307
9,407.528,1.03008,1.68149,1.37922,0.44684,0.53937,0.48245,0.38024,0.89355,1.69701,1.1267,0.0009208,0.0009208,0.0009208
10,452.06,1.01561,1.62198,1.36818,0.5537,0.54554,0.55231,0.44971,0.77507,1.45259,1.00569,0.0009109,0.0009109,0.0009109
11,496.957,1.0023,1.60158,1.36251,0.55336,0.61987,0.6156,0.48011,0.79445,1.3599,0.97983,0.000901,0.000901,0.000901
12,551.575,0.97321,1.54898,1.33856,0.5549,0.55285,0.57717,0.45933,0.74455,1.47124,0.97477,0.0008911,0.0008911,0.0008911
13,605.816,0.96223,1.53655,1.3356,0.55794,0.59555,0.59793,0.49668,0.73547,1.36523,0.95025,0.0008812,0.0008812,0.0008812
14,661.604,0.95717,1.51384,1.32835,0.62105,0.60756,0.61177,0.48024,0.80897,1.36632,0.99042,0.0008713,0.0008713,0.0008713
15,718.312,0.95942,1.49177,1.33207,0.54692,0.55982,0.56677,0.47164,0.69316,1.44332,0.94031,0.0008614,0.0008614,0.0008614
16,770.932,0.94885,1.47745,1.32126,0.57923,0.62954,0.62532,0.50198,0.77053,1.3306,0.95489,0.0008515,0.0008515,0.0008515
17,826.44,0.94089,1.45033,1.31814,0.60117,0.60818,0.64902,0.52347,0.69751,1.28342,0.90871,0.0008416,0.0008416,0.0008416
18,879.467,0.91381,1.4352,1.29992,0.6055,0.63929,0.63927,0.53296,0.69032,1.27616,0.92163,0.0008317,0.0008317,0.0008317
19,932.191,0.91504,1.41116,1.30097,0.6133,0.62433,0.65463,0.53198,0.72506,1.24357,0.91428,0.0008218,0.0008218,0.0008218
